food_id,Menu,에너지(kcal),단백질(g),지방(g),탄수화물(g),나트륨(mg),칼슘(mg),비타민 D(μg),식이섬유(g)
B050500142,북어국,121.81,14.6082,5.5574,2.2736,445.7,64.33,0.26,0.454
C130200042,닭볶음탕,232.184,24.7245,1.9906,29.9952,1020.88,35,0,5.231
C130300057,우엉조림,62.355,1.24869,3.00055,7.3492,342.153,17.484,0,1.2605
C120300526,청경채볶음,28.134212,1.4484948,0.0737314,5.9605716,289.13842,43.41666,0,1.399
C170100001,배추김치,19.5,1.19505,0.21765,3.975,1194.571,37.93,0,1.857
A010100001,쌀밥,329.4,6.129,0.945,70.866,1.8,6.3,0,1.71
B050600076,쇠고기배추국,114.3285,7.60485,7.4333,3.90715,513.395,30.91,0,1.538
C120800034,베이컨버섯볶음,67.604,4.08025,4.6388,5.16895,270.395,6.56,0.087,2.3
C150100136,호박나물,40.775,0.9914,2.65985,3.7505,289.6,21.555,0,1.4105
C130600025,콩자반,157.956,11.82288,5.24428,16.44519,479.386,52.977,0,6.3623
C170100001,배추김치,19.5,1.19505,0.21765,3.975,1194.571,37.93,0,1.857
A010100001,쌀밥,329.4,6.129,0.945,70.866,1.8,6.3,0,1.71
B080100194,청국장찌개,163.98,13.0194,8.2577,9.2456,406.04,75.87,0,2.691
C120200216,돈육고추장불고기,247.662,22.3906,11.19335,13.54665,772.77,21.72,0.68,1.5985
C160100093,양배추샐러드,39.2,1.188,1.028,7.308,99.6,29,0,2.13
C150100103,얼갈이나물,23.465,1.0764,1.28055,2.41825,376.11,139.34,0,1.8745
C170100001,배추김치,19.5,1.19505,0.21765,3.975,1194.571,37.93,0,1.857
P119-401040100-0049,발효유_떠먹는 요구르트,74.4,5.6,2.4,7.2,66.4,0,0,0
A010100001,쌀밥,329.4,6.129,0.945,70.866,1.8,6.3,0,1.71
B050100254,조갯살들깨쑥국,87.36,6.3491,4.3597,6.7273,659.46,93.95,0,4.318
C100600008,두부구이,174.66,11.54445,11.996,4.57425,508.365,78.72,0,3.48
C150800015,미역초무침,27.1,1.34355,1.5056,3.38965,329.855,14.11,0,0.269
C150200035,무생채,44.8,1.1052,1.7036,6.8826,344.94,28.71,0,1.735
C170100001,배추김치,19.5,1.19505,0.21765,3.975,1194.571,37.93,0,1.857
