food_id,Menu,ingredient_id,Amount_g,Ingredient,품목코드,단가(원/g),총 가격(원)
A031300117,춘권,R106-053002201-0000,1,마늘,1000006845,5.68,5.68
A031300117,춘권,R102-007010002-0000,5,당면,1000697413,11.33,56.65
A031300117,춘권,R318-020030000-0000,1,소금,1000736517,1.43,1.43
A031300117,춘권,R106-112000001-0000,20,숙주,1000162975,1.55,31
A031300117,춘권,P112-004000400-0041,5,진간장,1000453770,1.347692308,6.738461538
A031300117,춘권,R102-014010006-0000,5,감자전분,1000177074,2.495,12.475
A031300117,춘권,R106-091040001-0000,5,부추,1000006757,8.73,43.65
A031300117,춘권,P106-001000100-0001,20,두부,1000152538,1.896666667,37.93333333
A031300117,춘권,P107-101010100-0023,5,식용유,1000641822,2.588888889,12.94444444
A031300117,춘권,R118-041010006-0000,0.105,후춧가루,1000520223,25.51111111,2.678666667
A031300117,춘권,R101-016080006-0000,25,밀가루(중력분),1000179226,38.38,959.5
C160100096,양상추샐러드,R210-003000001-0000,15,달걀,1000520018,4.105555556,61.58333333
C160100096,양상추샐러드,P113-202020200-0001,10,마요네즈,1000675399,3.625,36.25
C160100096,양상추샐러드,R106-186010001-0000,30,방울토마토,1000134895,11.31,339.3
C160100096,양상추샐러드,R106-101143601-0000,30,양상추,1000605968,5.28,158.4
C160100096,양상추샐러드,R106-148010001-0000,10,오이,1000623931,5.3,53
C160100096,양상추샐러드,P116-702070100-0020,10,오이피클,1000623931,5.3,53
C160100096,양상추샐러드,P113-203020300-0007,10,토마토케첩,1000665985,7.4,74
C160100096,양상추샐러드,R106-196008301-0000,10,피망(녹색),1000006577,7.21,72.1
C170100001,배추김치,R106-004000001-0000,1,갓,1000006752,4.6,4.6
C170100001,배추김치,R118-007000006-0000,2,고춧가루,1000020371,5.514705882,11.02941176
C170100001,배추김치,R318-020000000-0000,0.3,굵은소금,1000736517,1.43,0.429
C170100001,배추김치,R318-020000000-0000,3,굵은소금(절임용),1000736517,1.43,4.29
C170100001,배추김치,R106-053002201-0000,1,마늘(다진것),1000006845,5.68,5.68
C170100001,배추김치,R211-105034077-0000,1,멸치액젓,1000741926,1.266666667,1.266666667
C170100001,배추김치,R106-065027601-0000,6,무,1000622538,2.06,12.36
C170100001,배추김치,R106-077030001-0000,5,미나리,1000006800,8.44,42.2
C170100001,배추김치,R106-087003401-0000,40,배추,1000622543,1.89,75.6
C170100001,배추김치,R103-011020000-0000,0.5,백설탕,1000612561,1.438666667,0.719333333
C170100001,배추김치,R211-717254071-0000,1,새우젓,1000642504,28.5,28.5
C170100001,배추김치,R106-101002501-0000,0.5,생강(다진것),1000702726,16.66666667,8.333333333
C170100001,배추김치,R106-191030001-0000,1,쪽파,1000007032,11.02,11.02
R108-010020001-0000,귤_온주밀감_생것,R108-010020001-0000,100,귤_온주밀감_생것,1000734393,5.59,559
A010100001,쌀밥,R101-008000301-0000,90,백미,1000119514,2.6385,237.465
B060300023,닭곰탕,R209-008008601-0000,80,닭(뼈포함),1000681231,4.81,384.8
B060300023,닭곰탕,R106-053002201-0000,2,마늘,1000006845,5.68,11.36
B060300023,닭곰탕,R106-065027601-0000,50,무,1000622538,2.06,103
B060300023,닭곰탕,R106-132000001-0000,10,양파,1000006975,2.86,28.6
